time X A B A2 B2
64.5 1 10 7 2 4
64.6 1 10 7 2 4
64.7 1 10 7 2 4
64.8 1 8 7 3 4
64.9 1 7 7 3 4
65 1 7 7 3 4
65.1 1 7 7 3 4
65.2 1 7 5 3 5
65.3 1 7 5 3 5
65.4 1 9 7 2 4
65.5 1 9 7 2 4
65.6 1 9 7 2 4
65.7 1 7 11 3 2
65.8 1 6 11 3 2
65.9 1 7 14 3 1
66 1 7 12 3 2
66.1 1 7 12 3 2
66.2 1 7 8 3 4
66.3 1 7 8 3 4
66.4 1 7 8 3 4
66.5 1 7 8 3 4
66.6 1 6 10 3 3
66.7 1 9 9 2 4
66.8 1 9 9 2 4
66.9 1 9 11 2 3
67 1 10 10 2 4
67.1 1 8 10 3 4
67.2 1 8 11 3 4
67.3 1 8 12 3 4
67.4 1 7 10 3 5
67.5 1 7 10 3 5
67.6 1 8 13 3 4
67.7 1 9 10 3 6
67.8 1 8 8 3 7
67.9 1 11 9 2 7
68 1 11 9 2 7
68.1 1 8 7 3 8
68.2 1 7 5 3 9
68.3 1 9 9 2 7
68.4 1 5 7 4 8
68.5 1 5 5 4 9
68.6 1 3 7 4 8
68.7 1 3 7 4 8
68.8 1 5 7 3 8
68.9 1 5 13 3 5
69 1 4 11 3 6
69.1 1 4 11 3 6
69.2 1 6 13 2 5
69.3 1 6 13 2 5
69.4 1 4 13 3 5
69.5 1 5 12 3 6
69.6 1 5 12 3 6
69.7 1 5 12 3 6
69.8 1 5 11 3 6
69.9 1 5 11 3 6
70 1 5 11 3 6
70.1 1 5 11 3 6
70.2 1 4 6 3 8
70.3 1 4 8 3 7
70.4 1 4 6 3 8
70.5 1 4 10 3 6
70.6 1 8 12 1 5
70.7 1 9 13 1 5
70.8 1 7 13 2 5
70.9 1 7 11 2 6
71 1 7 13 2 5
71.1 1 6 13 2 5
71.2 1 6 11 2 6
71.3 1 6 11 2 6
71.4 1 4 11 3 6
71.5 1 4 11 3 6
71.6 1 6 11 2 6
71.7 1 4 7 3 8
71.8 1 4 9 3 7
71.9 1 4 12 3 5
72 1 4 10 3 6
72.1 1 4 10 3 6
72.2 1 4 10 3 6
72.3 1 4 10 3 6
72.4 1 4 12 3 5
72.5 1 4 10 3 6
72.6 1 4 10 3 6
72.7 1 4 12 3 5
72.8 1 4 14 3 4
72.9 1 4 12 3 5
73 1 4 12 3 5
73.1 1 4 12 3 5
73.2 1 4 10 3 6
73.3 1 7 11 2 6
73.4 1 5 13 2 5
73.5 1 5 11 2 6
73.6 1 5 13 2 5
